frame_path,compare_path,motion_ratio,changed_pixels,mean_delta,largest_motion_component_ratio,motion_detected,regenerate_mask,reason,mask_path,mask_valid,mask_alpha_ratio,mask_fruit_color_ratio,mask_border_touch_ratio,mask_largest_component_ratio,mask_motion_overlap_ratio,mask_reason
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_1.png,True,0.417777,1.000000,0.000000,0.417777,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_2.png,True,0.369507,1.000000,0.000000,0.369507,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_3.png,True,0.359050,1.000000,0.000000,0.359050,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_4.png,True,0.331578,1.000000,0.000000,0.331578,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_5.png,True,0.362657,1.000000,0.000000,0.362657,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,,0.000000,0,0.000,0.000000,False,True,first_frame_needs_initial_mask,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-1_12-26-28_strawberry_6.png,True,0.396167,1.000000,0.000000,0.396167,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_1.png,True,0.414353,1.000000,0.000000,0.414353,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_2.png,True,0.351054,1.000000,0.000000,0.351054,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_3.png,True,0.361357,1.000000,0.000000,0.361357,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_4.png,True,0.342999,1.000000,0.000000,0.342999,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_5.png,True,0.373265,1.000000,0.000000,0.373265,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-1_12-26-28.jpg,0.000000,0,3.119,0.000000,False,False,stable,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-2_12-41-28_strawberry_6.png,True,0.400775,1.000000,0.000000,0.400775,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_1.png,True,0.410146,1.000000,0.000000,0.410146,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_2.png,True,0.352499,1.000000,0.000000,0.352499,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_3.png,True,0.369153,1.000000,0.000000,0.369153,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_4.png,True,0.373583,1.000000,0.000000,0.373583,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_5.png,True,0.318247,1.000000,0.000000,0.318247,,ok
C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-3_12-56-28.jpg,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\raw_data\18-03-2026\cropped\frame-2_12-41-28.jpg,0.060567,28945,8.029,0.009925,True,True,motion_detected,C:\fluttersrc\Strawberry-RUL-prediction\sample_data\processed\segmented_18-03-2026\frame-3_12-56-28_strawberry_6.png,True,0.402652,1.000000,0.000000,0.402652,,ok
